CODIGO INTERNO,DESCRIPCIÓN,CÓDIGO UNIDAD DE MEDIDA,"MONEDA (1=SOLES, 2=DOLARES, 3=EURO)",COSTO UNITARIO COMPRA (SIN IGV),VALOR VENTA UNITARIO (SIN IGV),PRECIO COMPRA UNITARIO (CON IGV),PRECIO VENTA UNITARIO (CON IGV),DESTACADO,TIPO DE AFECTACIÓN (IGV),CÓDIGO DE CATEGORÍA,DESCRIPCIÓN DE CATEGORÍA,CÓDIGO PRODUCTO SUNAT,STOCK ACTUAL DISPONIBLE
0000,LAPTOP MAMEL,NIU,1,,,10170,,NO,,-,SIN CATEGORÍA,,0
0001,utiles de oficina,NIU,1,,,1,,NO,,-,SIN CATEGORÍA,,3
0002,ORTOPEDIA,NIU,1,,,"0,1",,NO,,-,SIN CATEGORÍA,,1
0003,BOLSA 16*19 C/ASA *100UND,BG,1,,,"4,5","0,2",NO,,-,SIN CATEGORÍA,,2
0004,BOLSA 12*16 BCO ALFA *100UND,NIU,1,,,3,"0,15",NO,,-,SIN CATEGORÍA,,6
0005,ARTICULOS DE FERRETERIA,NIU,1,,,1,,NO,,-,SIN CATEGORÍA,,-19
0006,MATERIAL MEDICO,NIU,1,,,1,10,NO,,-,SIN CATEGORÍA,,-21
0007,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",NIU,1,,,1,,NO,,-,SIN CATEGORÍA,,23
0008,BOLSA 16*19 C/ASA*100UND,NIU,1,,,"4,5",6,NO,,-,SIN CATEGORÍA,,3
0009,BOLSA 21*24,NIU,1,,,10,"13,5",NO,,-,SIN CATEGORÍA,,2
0010,EQUIPOS DE SEGURIDAD,NIU,1,,,1,1,NO,,-,SIN CATEGORÍA,,-52
5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,NIU,1,"0,67796","1,01694","0,8","1,2",NO,10,-,SIN CATEGORÍA,,555
5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,NIU,1,"0,72033","1,01694","0,85","1,2",NO,10,-,SIN CATEGORÍA,,-989
5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,NIU,1,"0,76271","1,14406","0,9","1,35",NO,10,-,SIN CATEGORÍA,,-235
5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,NIU,1,,,1,"1,4",NO,10,-,SIN CATEGORÍA,,61
5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,NIU,1,,,"1,2","1,65",SI,10,-,SIN CATEGORÍA,,-1530
5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,NIU,1,"1,18644","1,65254","1,4","1,95",NO,10,-,SIN CATEGORÍA,,-1746
5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,NIU,1,"1,35593","1,8644","1,6","2,2",NO,10,-,SIN CATEGORÍA,,70
5007,TAPA DISPENSADORA BLANCO B28MM,NIU,1,,,"0,47974",1,NO,10,-,SIN CATEGORÍA,,1640
5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,NIU,1,"1,69491","2,37288",2,"2,8",NO,10,-,SIN CATEGORÍA,,-69
5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,NIU,1,,,"0,65","0,85",NO,10,-,SIN CATEGORÍA,,234
5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,NIU,1,"0,59322","0,80932","0,7","0,955",NO,10,-,SIN CATEGORÍA,,213
5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,NIU,1,"0,67796","0,9322","0,8","1,1",NO,10,-,SIN CATEGORÍA,,331
5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,NIU,1,"0,76271","1,05932","0,9","1,25",NO,10,-,SIN CATEGORÍA,,251
5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,NIU,1,"1,69491","2,11864",2,"2,7",NO,10,-,SIN CATEGORÍA,,69
